feature,kras_egfr_group,value
COL1A2,Neither,6.187107086181641
COL1A2,Neither,3.692983388900757
COL1A2,Neither,2.4523587226867676
COL1A2,Neither,4.386579990386963
COL1A2,Neither,0.0
COL1A2,Neither,2.2745420932769775
COL1A2,Neither,5.278295516967773
COL1A2,Neither,4.605269432067871
COL1A2,Neither,0.0
COL1A2,Neither,3.236711025238037
COL1A2,Neither,2.7609472274780273
COL1A2,Neither,1.7485185861587524
COL1A2,Neither,2.9046242237091064
COL1A2,Neither,0.0
COL1A2,Neither,3.3331692218780518
COL1A2,Neither,2.638129234313965
COL1A2,Neither,1.8103317022323608
COL1A2,Neither,2.169618606567383
COL1A2,Neither,1.5926905870437622
COL1A2,Neither,4.118155479431152
COL1A2,Neither,3.400714159011841
COL1A2,Neither,0.0
COL1A2,Neither,4.284951686859131
COL1A2,Neither,0.0
COL1A2,Neither,4.16967248916626
COL1A2,Neither,2.2922112941741943
COL1A2,Neither,3.5312747955322266
COL1A2,Neither,4.140232563018799
COL1A2,Neither,0.0
COL1A2,Neither,4.806617259979248
COL1A2,Neither,3.788646697998047
COL1A2,Neither,3.3489396572113037
COL1A2,Neither,1.9422504901885986
COL1A2,Neither,3.595165967941284
COL1A2,Neither,3.8340370655059814
COL1A2,Neither,3.5308358669281006
COL1A2,Neither,2.348484992980957
COL1A2,Neither,4.853797912597656
COL1A2,Neither,2.6327199935913086
COL1A2,Neither,3.796823740005493
COL1A2,Neither,3.3960559368133545
COL1A2,Neither,3.2428383827209473
COL1A2,Neither,3.58056640625
COL1A2,Neither,4.273937702178955
COL1A2,Neither,0.0
COL1A2,Neither,2.0586352348327637
COL1A2,Neither,0.0
COL1A2,Neither,2.258526563644409
COL1A2,Neither,3.124087333679199
COL1A2,Neither,3.0814521312713623
COL1A2,Neither,2.945671558380127
COL1A2,Neither,4.702027320861816
COL1A2,Neither,0.0
COL1A2,Neither,4.059166431427002
COL1A2,Neither,3.7657036781311035
COL1A2,Neither,2.2094056606292725
COL1A2,Neither,0.0
COL1A2,Neither,3.888690710067749
COL1A2,Neither,4.426577091217041
COL1A2,Neither,3.11838960647583
COL1A2,Neither,3.2752530574798584
COL1A2,Neither,5.519723415374756
COL1A2,Neither,3.2583370208740234
COL1A2,Neither,0.0
COL1A2,Neither,3.1202850341796875
COL1A2,Neither,4.049971103668213
COL1A2,Neither,4.363345623016357
COL1A2,Neither,4.039129257202148
COL1A2,Neither,2.6172800064086914
COL1A2,Neither,1.7022571563720703
COL1A2,Neither,3.5200726985931396
COL1A2,Neither,2.9909002780914307
COL1A2,Neither,2.2755863666534424
COL1A2,Neither,4.249946594238281
COL1A2,Neither,4.339406490325928
COL1A2,Neither,3.210770606994629
COL1A2,Neither,0.0
COL1A2,Neither,2.5790963172912598
COL1A2,Neither,2.242194414138794
COL1A2,Neither,5.029416561126709
COL1A2,Neither,4.529008865356445
COL1A2,Neither,4.596903324127197
COL1A2,Neither,3.7283198833465576
COL1A2,Neither,2.871854305267334
COL1A2,Neither,3.9245007038116455
COL1A2,Neither,2.255463123321533
COL1A2,Neither,0.0
COL1A2,Neither,4.855061054229736
COL1A2,Neither,1.3893018960952759
COL1A2,Neither,3.6060314178466797
COL1A2,Neither,3.4013609886169434
COL1A2,Neither,0.0
COL1A2,Neither,4.210224628448486
COL1A2,Neither,4.722884654998779
COL1A2,Neither,3.759248733520508
COL1A2,Neither,2.1228294372558594
COL1A2,Neither,3.682044267654419
COL1A2,Neither,2.6647610664367676
COL1A2,Neither,1.6165152788162231
COL1A2,Neither,2.6858413219451904
COL1A2,Neither,3.9995105266571045
COL1A2,Neither,3.888690710067749
COL1A2,Neither,3.2963762283325195
COL1A2,Neither,3.849658489227295
COL1A2,Neither,3.01025652885437
COL1A2,Neither,2.7881946563720703
COL1A2,Neither,0.0
COL1A2,Neither,4.383970737457275
COL1A2,Neither,4.306369781494141
COL1A2,Neither,2.4465575218200684
COL1A2,Neither,4.097200393676758
COL1A2,Neither,2.8407747745513916
COL1A2,Neither,3.3436532020568848
COL1A2,Neither,4.175963878631592
COL1A2,Neither,0.0
COL1A2,Neither,3.2296910285949707
COL1A2,Neither,0.0
COL1A2,Neither,3.634960889816284
COL1A2,Neither,2.5951991081237793
COL1A2,Neither,4.1418561935424805
COL1A2,Neither,0.0
COL1A2,Neither,1.588026523590088
COL1A2,Neither,0.0
COL1A2,Neither,3.2296910285949707
COL1A2,Neither,3.087921619415283
COL1A2,Neither,0.0
COL1A2,Neither,3.0035560131073
