feature,tumor_stage,value
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11506626363817032
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.034727018599810505
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06443985391290584
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.17218447234469803
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.05913168647020613
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.04887376734448688
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.104752599429548
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.15300490860374727
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0737182115903256
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.07833967834872693
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11227363373588595
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.04586285821699107
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.020080130697625334
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.01663647678578436
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.17373757807045687
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.03492281166193677
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.19081345585548506
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.12279691910971367
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11321900511754109
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1831534465923437
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.2487468840052086
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.030170768306026663
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.02526616180800159
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.025761005633105072
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.03790659397928747
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.16846988007357352
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1339297918247424
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.17208824956647512
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.0093106233649662
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.017567878831276487
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0861562721013079
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.04478317432331857
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.12200671051078187
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.10478101796913825
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.16341792648335227
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1009106735834625
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.10635085662261538
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.01111256092668797
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.024167226793983587
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.02862785040755176
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1593558700489943
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.1761548828887508
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.026132068658781718
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.007707660702779853
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.036023792394141885
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.014913420384169054
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.11689712874573752
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.05229448638371803
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06451491958649132
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.14474578785333908
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.08262982742711131
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.2074746409112014
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0403027632685682
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.19102211333591906
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.010323195668931348
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.15858307215380335
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.020558941367064605
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.022250622377053914
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.03435842046227787
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.016446970106975795
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.04668291745343068
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.039122568346185965
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.051147900350468956
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.13729364779885744
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.07236055400226629
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.04572812122043292
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.04597991251416417
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.020508211062062923
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.06828394938630528
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.047600243902810854
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06589040925340403
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.037009187232838435
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.043764335403114946
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,-0.027643679374745336
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.10536950961690852
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.03216303689801003
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.06947442959116204
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.2172108985042169
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.0384067997436036
HALLMARK_IL6_JAK_STAT3_SIGNALING,non-cancer,0.12756455445529957
