feature,comparison,group1,group2,n_group1,n_group2,median_group1,median_group2,U_statistic,p_value,p_value_fdr
GLYCOLYSIS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.12422242264428929,0.07176840925276805,121004209086.0,0.0,0.0
GLYCOLYSIS,1_vs_2,Early,Advanced,334214,226725,0.06414308064522087,0.07176840925276805,34434907626.0,0.0,0.0
HEDGEHOG_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,-0.02105269067994342,-0.04005684572107652,151814704523.5,0.0,0.0
HEDGEHOG_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,-0.02105269067994342,-0.0364540796937223,97323354957.5,0.0,0.0
HEDGEHOG_SIGNALING,1_vs_2,Early,Advanced,334214,226725,-0.04005684572107652,-0.0364540796937223,35560723764.0,0.0,0.0
HEME_METABOLISM,0_vs_1,Non-Cancer,Early,810705,334214,0.12163522382426438,0.06338157931152133,195724523557.5,0.0,0.0
HEME_METABOLISM,0_vs_2,Non-Cancer,Advanced,810705,226725,0.12163522382426438,0.060306276459878974,133845747165.5,0.0,0.0
HEME_METABOLISM,1_vs_2,Early,Advanced,334214,226725,0.06338157931152133,0.060306276459878974,38667934965.0,2.6688089875275977e-39,2.952724837264576e-39
HYPOXIA,0_vs_1,Non-Cancer,Early,810705,334214,0.21858487227901002,0.16130419923158373,181670637283.5,0.0,0.0
HYPOXIA,0_vs_2,Non-Cancer,Advanced,810705,226725,0.21858487227901002,0.15112702024723174,122352809031.5,0.0,0.0
HYPOXIA,1_vs_2,Early,Advanced,334214,226725,0.16130419923158373,0.15112702024723174,37813785530.5,0.21653372462408804,0.21934585091790737
IL2_STAT5_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,0.09821405546951611,0.06727208837778975,165254354212.5,0.0,0.0
IL2_STAT5_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,0.09821405546951611,0.058237929240917974,118304409427.5,0.0,0.0
IL2_STAT5_SIGNALING,1_vs_2,Early,Advanced,334214,226725,0.06727208837778975,0.058237929240917974,40806368632.5,0.0,0.0
IL6_JAK_STAT3_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,0.09629458256632752,0.06667324722251458,156325336702.5,0.0,0.0
IL6_JAK_STAT3_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,0.09629458256632752,0.06159175690425253,108494563273.0,0.0,0.0
IL6_JAK_STAT3_SIGNALING,1_vs_2,Early,Advanced,334214,226725,0.06667324722251458,0.06159175690425253,39117066051.0,7.552224169983327e-95,8.662845371451464e-95
INFLAMMATORY_RESPONSE,0_vs_1,Non-Cancer,Early,810705,334214,0.09551803225562686,0.07497016770499093,154703683709.5,0.0,0.0
INFLAMMATORY_RESPONSE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.09551803225562686,0.07256052743820916,104202381778.5,0.0,0.0
INFLAMMATORY_RESPONSE,1_vs_2,Early,Advanced,334214,226725,0.07497016770499093,0.07256052743820916,37225062879.5,9.194701945272247e-29,9.757642880697078e-29
INTERFERON_ALPHA_RESPONSE,0_vs_1,Non-Cancer,Early,810705,334214,0.1424197546374466,0.17525368909839206,120361059613.5,0.0,0.0
INTERFERON_ALPHA_RESPONSE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.1424197546374466,0.18794955199377186,71840093998.5,0.0,0.0
INTERFERON_ALPHA_RESPONSE,1_vs_2,Early,Advanced,334214,226725,0.17525368909839206,0.18794955199377186,34571773733.5,0.0,0.0
INTERFERON_GAMMA_RESPONSE,0_vs_1,Non-Cancer,Early,810705,334214,0.16525411458033035,0.1825732947627557,129429234557.0,2.254093677053916e-309,3.031367358796647e-309
INTERFERON_GAMMA_RESPONSE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.16525411458033035,0.18687390858836717,78753061681.5,0.0,0.0
INTERFERON_GAMMA_RESPONSE,1_vs_2,Early,Advanced,334214,226725,0.1825732947627557,0.18687390858836717,34944713601.5,0.0,0.0
KRAS_SIGNALING_DN,0_vs_1,Non-Cancer,Early,810705,334214,-0.024372990183110968,-0.023539863255379073,131388127604.0,1.7087578333002774e-142,2.0194410757185098e-142
KRAS_SIGNALING_DN,0_vs_2,Non-Cancer,Advanced,810705,226725,-0.024372990183110968,-0.02429031305438046,92871707843.5,1.5871962250423323e-14,1.6506840740440255e-14
KRAS_SIGNALING_DN,1_vs_2,Early,Advanced,334214,226725,-0.023539863255379073,-0.02429031305438046,39480629328.5,7.011427590068492e-158,8.478935690315385e-158
KRAS_SIGNALING_UP,0_vs_1,Non-Cancer,Early,810705,334214,0.07289148723437139,0.056723773537366934,151481489617.0,0.0,0.0
KRAS_SIGNALING_UP,0_vs_2,Non-Cancer,Advanced,810705,226725,0.07289148723437139,0.056975423617498924,102788313761.0,0.0,0.0
KRAS_SIGNALING_UP,1_vs_2,Early,Advanced,334214,226725,0.056723773537366934,0.056975423617498924,37631467977.0,1.7144376841576028e-05,1.7595544653196452e-05
MITOTIC_SPINDLE,0_vs_1,Non-Cancer,Early,810705,334214,0.04609935875189142,0.021736999923047146,166553684984.5,0.0,0.0
MITOTIC_SPINDLE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.04609935875189142,0.023296505916911597,111677456541.0,0.0,0.0
MITOTIC_SPINDLE,1_vs_2,Early,Advanced,334214,226725,0.021736999923047146,0.023296505916911597,37152325694.5,4.87799691929337e-35,5.321451184683677e-35
MTORC1_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,0.22091666443321534,0.14584068822684765,183407409141.0,0.0,0.0
MTORC1_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,0.22091666443321534,0.1443916004786192,122327870060.0,0.0,0.0
MTORC1_SIGNALING,1_vs_2,Early,Advanced,334214,226725,0.14584068822684765,0.1443916004786192,36353091815.5,1.5289635819598544e-146,1.820750525081964e-146
MYC_TARGETS_V1,0_vs_1,Non-Cancer,Early,810705,334214,0.45121757135158636,0.4173309898376465,157317119871.5,0.0,0.0
MYC_TARGETS_V1,0_vs_2,Non-Cancer,Advanced,810705,226725,0.45121757135158636,0.3906665460850165,111235805813.5,0.0,0.0
MYC_TARGETS_V1,1_vs_2,Early,Advanced,334214,226725,0.4173309898376465,0.3906665460850165,39107484411.5,2.0917977868555604e-93,2.364640976445416e-93
MYC_TARGETS_V2,0_vs_1,Non-Cancer,Early,810705,334214,0.017277687439962344,0.00993972648097076,139923365956.5,1.5999461374774164e-168,1.9499343550506012e-168
MYC_TARGETS_V2,0_vs_2,Non-Cancer,Advanced,810705,226725,0.017277687439962344,0.010992093534708869,92959641822.5,5.3896166848627984e-17,5.642820153279171e-17
MYC_TARGETS_V2,1_vs_2,Early,Advanced,334214,226725,0.00993972648097076,0.010992093534708869,37192490786.5,1.7102877340767537e-31,1.8400337001101624e-31
MYOGENESIS,0_vs_1,Non-Cancer,Early,810705,334214,0.051916534983805024,0.017878058247018977,186845928516.5,0.0,0.0
MYOGENESIS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.051916534983805024,0.021770365134960903,123008941035.0,0.0,0.0
MYOGENESIS,1_vs_2,Early,Advanced,334214,226725,0.017878058247018977,0.021770365134960903,35970365819.0,1.294859148022802e-227,1.6557215335373533e-227
NOTCH_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,0.056277054727376014,0.01952072065043728,161877148804.0,0.0,0.0
NOTCH_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,0.056277054727376014,0.012523034777187553,114197307936.5,0.0,0.0
NOTCH_SIGNALING,1_vs_2,Early,Advanced,334214,226725,0.01952072065043728,0.012523034777187553,39968141014.0,8.371663532075354e-268,1.1067622974608097e-267
OXIDATIVE_PHOSPHORYLATION,0_vs_1,Non-Cancer,Early,810705,334214,0.39278096035794097,0.2636671339498984,178225907708.5,0.0,0.0
OXIDATIVE_PHOSPHORYLATION,0_vs_2,Non-Cancer,Advanced,810705,226725,0.39278096035794097,0.22352098001016152,129490144150.5,0.0,0.0
OXIDATIVE_PHOSPHORYLATION,1_vs_2,Early,Advanced,334214,226725,0.2636671339498984,0.22352098001016152,41225480795.0,0.0,0.0
P53_PATHWAY,0_vs_1,Non-Cancer,Early,810705,334214,0.210082034710391,0.16552342748494342,177766754529.5,0.0,0.0
P53_PATHWAY,0_vs_2,Non-Cancer,Advanced,810705,226725,0.210082034710391,0.1449509344898141,129399962671.5,0.0,0.0
P53_PATHWAY,1_vs_2,Early,Advanced,334214,226725,0.16552342748494342,0.1449509344898141,41181519444.5,0.0,0.0
PANCREAS_BETA_CELLS,0_vs_1,Non-Cancer,Early,810705,334214,0.0687084813861142,0.061184152981035946,146129890861.5,0.0,0.0
PANCREAS_BETA_CELLS,0_vs_2,Non-Cancer,Advanced,810705,226725,0.0687084813861142,0.05093213866835781,107187369659.5,0.0,0.0
PANCREAS_BETA_CELLS,1_vs_2,Early,Advanced,334214,226725,0.061184152981035946,0.05093213866835781,41309284525.5,0.0,0.0
PEROXISOME,0_vs_1,Non-Cancer,Early,810705,334214,0.1574554624233391,0.08441538639496458,190016705288.5,0.0,0.0
PEROXISOME,0_vs_2,Non-Cancer,Advanced,810705,226725,0.1574554624233391,0.07136408347556482,135680978962.0,0.0,0.0
PEROXISOME,1_vs_2,Early,Advanced,334214,226725,0.08441538639496458,0.07136408347556482,41710942343.0,0.0,0.0
PI3K_AKT_MTOR_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,0.21562888066571456,0.17585916973295668,164200047222.5,0.0,0.0
PI3K_AKT_MTOR_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,0.21562888066571456,0.16847663009375857,114059890457.5,0.0,0.0
